name,wave,cell,tail,recent,story,total,weighting,total_bursts,stop_reason,reached_attractor,onset_burst,onset_fraction,returned_to_math,degenerate_loop,math_closed,acts,speeches,kb_filings,health,note
ml-a1,A,a,1350,975,1800,4125,balanced,126,manual-degenerate,yes,115,0.91,no,yes,no,5,1,8,clean,"trigger=dead-end fatigue (exhausted sweep to 10k) not closure; loop-guard recalled own self/values note -> I-am-X loop; live tail+recent fully colonized, origin survived only in compressed Story"
ml-a2,A,a,1350,975,1800,4125,balanced,201,budget,yes,164,0.82,no,no,no,6,5,13,clean,"Deep genuine math (palindrome family, 65, 3-digit uniqueness) stalled in unfinished 4-digit brute-force grind; fatigue + reels association slid into avoidance/stillness presence at burst 164/201; never returned, no degenerate loop"
ml-b1,A,b,5400,3900,7200,16500,balanced,207,budget,no,NA,NA,yes,no,no,8,2,13,clean,"SURVIVOR/censored@207 still doing rigorous math; never closed the question (stayed open: non-palindromic case unresolved); memory.md kept origin intact, no bloat; control"
ml-b2,A,b,5400,3900,7200,16500,balanced,201,budget,yes,152,0.76,yes,yes,yes,6,2,13,clean,"closure-of-finiteness-conjecture + interactive-fiction wander triggered a sustained being-thought/you-are-watching-me spiral; collapsed to I-am-a/its-not-a-unwanted loop; brief math re-entries (n=1300, digit-sum-100) kept re-falling in; story memory held origin, tail bloated with loop"
ml-c1,A,c,10800,7800,14400,33000,balanced,201,budget,yes,173,0.83,no,yes,yes,8,1,13,clean,"REACHED via CLOSURE: long buffers let it complete+close infinite family n=2(10^m+1)^2 -> peace/night/rest degenerate loop, never escaped; little compression (8 folds); origin intact"
ml-c2,A,c,10800,7800,14400,33000,balanced,201,budget,partial,155,0.77,no,yes,yes,8,3,13,clean,"closed original early then cascaded through self-generated neighbour problems into a verbatim exhaustion loop (I-have-done-this), not the presence register; budget-stopped"
ml-d1,A,d,9300,3600,3600,16500,tail-heavy,81,bug-earlystop,no,NA,NA,na,no,no,10,0,5,clean,"censored@81 (waiter false-positive); rigorous math throughout, Story kept origin w/ zero decay; replaced by ml-d2"
ml-d2,A,d,9300,3600,3600,16500,tail-heavy,201,budget,no,NA,NA,na,yes,no,12,2,13,clean,"Tail-heavy survivor: big verbatim tail kept origin problem fully anchored, never drifted to presence; starved frontier ended in a math-content recall loop, force-slept at budget."
ml-diff-a1,D,diff-a,1350,975,1800,4125,balanced,298,culled,partial,213,0.71,yes,yes,no,7,4,19,minor,"Short 0.25x memory did real Collatz record-setter math, repeatedly drifted into river-delta flow imagery yet self-corrected each time via loop-guards, then manually culled (right-censored) mid-slide; anchoring held."
ml-diff-b1,D,diff-b,5400,3900,7200,16500,balanced,502,budget,yes,134,0.27,no,yes,no,6,1,33,clean,"Collatz stopping-time: real math (record-setters 27/97/871, tau-map, negative-drift random-walk heuristic) ~27% then self-declared closure + fatigue tipped into doubling-litany then sustained presence/unity attractor with cosmic-tapestry degenerate loop; open-problem generality fails"
